datetime,advance,decline,unchange,main_index_value,main_index_change
2026-02-28 16:00:52,113,387,0,23166.85,0
2026-02-28 16:01:53,113,387,0,23166.85,0.0
2026-02-28 16:02:54,113,387,0,23166.85,0.0
2026-02-28 16:03:55,113,387,0,23166.85,0.0
2026-02-28 16:04:55,113,387,0,23166.85,0.0
